KOI_inner,Period_inner,KOI_middle,Period_middle,KOI_outer,Period_outer,Nearest Period Ratio_inner,Nearest Period Ratio_outer,Period Ratios_inner,Period Ratios_outer,delta_inner,delta_outer,Period_ttv_inner,Period_ttv_outer,n1,n2,n3,p,q,3 Body Equation
2038.02,12.51345816,2038.03,17.91327996,2038.04,25.21486084,5:7,5:7,1.431521145550384,1.4076071437673214,0.0225151039645601,0.0054336741195153,113.65881313778377,662.9258394804416,0.5021142218914476,0.35075571426393237,0.24918580146245162,5,7,0.04580314852721079
2045.01,5.47665173,2045.03,16.93512559,2045.02,24.2095264,1:3,5:7,3.092240738484935,1.429545135129996,0.0307469128283115,0.0211036679499971,183.597029557238,163.88164273732485,1.1472676403287718,0.3710149814826137,0.25953359034646734,1,7,-0.004117079106866317
2055.03,2.5047528,2055.02,4.02583093,2055.04,6.1308059,3:5,2:3,1.6072767460325823,1.5228672059509465,-0.0356339523804506,0.0152448039672976,-22.595477970098177,134.05236112254985,2.5085051535543093,1.5607176298333987,1.0248547107289085,3,6,-0.3718149434642086
2055.02,4.02583093,2055.04,6.1308059,2055.01,8.67891788,2:3,5:7,1.5228672059509465,1.4156243113160702,0.0152448039672976,0.0111602223686215,134.05236112254985,111.0950454638394,1.5607176298333987,1.0248547107289085,0.7239595297541387,4,7,0.03718540959457073
2086.01,7.13295045,2086.02,8.91897737,2086.03,11.89824703,4:5,3:4,1.2503910454053413,1.3340371363673502,0.000312836324273,0.0005278522755127,5702.0088001134645,5635.216319964528,0.8808676509423371,0.7044737357798213,0.5280765554234409,4,4,-1.3060775458484386e-05
2163.01,10.66493632,2163.02,17.78345269,2163.03,28.22496547,3:5,3:5,1.6674691865389404,1.587147668229324,0.000481511923364,-0.0477113990624056,7386.505640714098,-118.31539642374464,0.5891441935191588,0.3533163900569629,0.22261091209687797,3,5,0.05395602058616289
2169.02,3.26662197,2169.03,4.27223792,2169.01,5.45297445,3:4,4:5,1.30784582949462,1.276374245093541,-0.0191156278790349,0.0210993960748326,-55.87362794247485,51.68844104030348,1.9234503915307917,1.4707011699338097,1.1522491742427998,3,5,-0.23401231366410347
2195.03,6.84974223,2195.01,20.0546569,2195.02,30.09016159,1:3,2:3,2.9277973136224134,1.5004076978250374,-0.0240675621258622,0.0002717985500249,-277.7549964709539,36902.52895909233,0.9172878476595733,0.3133030566670819,0.20881194965957595,1,6,-0.022961851052544446
2220.03,1.89782214,2220.01,3.28279781,2220.02,5.0281665,3:5,2:3,1.7297710574711709,1.5316710900328034,0.0378626344827024,0.0211140600218688,17.340567315778028,79.3810142750388,3.310734538685267,1.9139726753928796,1.2495977026973124,3,6,0.20403575370375826
2220.01,3.28279781,2220.02,5.0281665,2220.04,7.66463518,2:3,2:3,1.5316710900328034,1.524339971637773,0.0211140600218688,0.0162266477585153,79.3810142750388,157.44955035414486,1.9139726753928796,1.2495977026973124,0.8197631276143251,2,3,0.03924622014217238
2220.02,5.0281665,2220.04,7.66463518,2220.05,11.92923256,2:3,2:3,1.524339971637773,1.5563992649158287,0.0162266477585153,0.0375995099438857,157.44955035414486,105.75698617529352,1.2495977026973124,0.8197631276143251,0.5267049054142663,2,3,-0.019505516434202175
2263.02,9.47852438,2263.03,15.59458181,2263.01,29.96864759,3:5,1:2,1.6452541751018843,1.921734609823436,-0.0128474949388694,-0.0391326950882819,-242.7645526883116,-382.9106009999028,0.6628864425814334,0.40290822695549966,0.20965862034015084,3,4,0.006936220416405958
2352.02,5.6290675,2352.03,8.2562501,2352.01,13.39147403,2:3,3:5,1.4667171960542311,1.6219801808087182,-0.0221885359638459,-0.0268118915147691,-124.03176897975229,-99.89204993331708,1.1162035820639185,0.7610216782531316,0.4691929576313853,4,5,-0.03841598786558409
2433.06,6.0632531,2433.02,10.04380879,2433.01,15.16213142,3:5,2:3,1.6565049527620743,1.509599768077624,-0.0060970283427554,0.0063998453850826,-329.46570773068754,789.7134231472373,1.0362729715471695,0.6255779494164968,0.4143998711745493,3,6,-0.034983403059667406
2433.04,27.90426394,2433.03,56.41581418,2433.07,86.43086179,1:2,2:3,2.0217632079923624,1.5320325168796491,0.0108816039961812,0.0213550112530993,2592.256353006347,1349.1113126504188,0.2251693619544937,0.1113727666347682,0.07269608536873975,1,3,-0.002233448478359823
2485.02,3.6008407,2485.03,5.72716427,2485.01,9.99116477,3:5,3:5,1.5905075361984218,1.7445221228131456,-0.045695478280947,0.0467132736878872,-25.06665641964831,42.77655570344113,1.7449217642923183,1.0970848767324752,0.6288741554984472,3,5,-0.39754294349061103
2579.01,2.72960744,2579.02,3.59647062,2579.03,10.30132666,3:4,1:3,1.3175779664492706,2.864287727727914,-0.011816525163047,-0.0452374240906954,-76.08985235454335,-75.90563835927173,2.301864075802631,1.7470420228761903,0.6099394296054277,6,3,-0.08237546225364345
2585.01,5.34182216,2585.03,7.87845619,2585.02,10.42309397,2:3,3:4,1.4748630624573242,1.3229868541034562,-0.0167579583617838,-0.0077598594224078,-156.71074045166597,-335.8016364285417,1.1762251005337823,0.7975147866094292,0.6028138406181506,2,4,-0.021383156116408397
2597.03,5.61355807,2597.01,8.00503248,2597.02,12.1307292,5:7,2:3,1.4260175774755994,1.515387880100144,0.0185839839111425,0.0102585867334292,61.53557138444162,394.1650546096518,1.1192874873350311,0.7849044114283951,0.5179561099409907,5,6,0.07022557060875467
2693.01,4.08141546,2693.03,6.83440524,2693.02,11.4194537,3:5,3:5,1.6745183887748591,1.6708774646789897,0.0047110332649153,0.0025264788073937,290.1446394317801,903.9817525150712,1.5394623185897343,0.9193463200580694,0.5502176787300768,3,5,0.014704788955031134
