,KIC,KOI,Kepler,Period,Rp/R*,Status
6126,6691169,4890.01,               ,63.09480591,0.019571, PPPP
6127,10747501,4891.01,               ,4.73091835,0.013894, PPPP
6128,10586744,4892.01,               ,21.37613211,0.009476, PPPP
6129,11970050,4893.01,               ,6.58745561,0.014163, PPPP
6131,12416597,4895.01,               ,12.460571,0.011095, PPPN
6133,11135694,4896.01,               ,19.59440798,0.010501, PPPN
6134,11135694,4896.02,               ,49.53527085,0.013988, PPPN
6136,10065053,4898.01,               ,409.8659129,0.021601, PPNN
6138,6424561,4900.01,               ,6.67164413,0.011296, PPPP
6140,10000162,4902.01,               ,409.3914602,0.020165, PPNN
6142,8803757,4904.01,               ,3.59451311,0.008786, PPPP
6144,9479306,4906.01,               ,4.86076375,0.014574, PPPP
6145,5437762,4907.01,               ,4.04461168,0.005461, PPPP
6150,5208962,4912.01,               ,0.87685666,0.007175, PPPP
6151,5769810,4913.01,               ,6.78781294,0.008079, PPPP
6152,5769810,4913.02,               ,8.97388491,0.009605, PPFP
6153,12071754,4914.01,               ,5.47460893,0.007761, PPPP
6157,1429589,4923.01,               ,38.16769756,0.008508, PPNP
6160,1865864,4926.01,               ,69.08764016,0.020191, PPPN
6162,1873513,4928.01, Kepler-1624 b ,3.29030663,0.104858, PPPP
6165,2019199,4931.01,               ,579.8230796,0.01778, PPNN
6172,2310993,4938.01,               ,55.18082072,0.020253, PPPN
6192,2861126,4957.02,               ,4.98787217,0.016874, PPPP
6193,2861298,4958.01,               ,581.73062,0.011313, PPNN
6196,3001955,4961.01,               ,348.9505788,0.022562, PPNN
6198,3101178,4963.01,               ,59.40051085,0.010376, PPPP
6202,3239171,4967.01,               ,43.57946854,0.017195, PPPP
6207,3340165,4972.01,               ,26.09322945,0.010347, PPPP
6210,3355104,4975.01,               ,47.06295686,0.037594, PPFP
6211,3356156,4976.01,               ,624.9177942,0.014254, PPNN
6221,3540873,4986.01,               ,444.0788242,0.018511, PPNN
6227,3553900,4992.01,               ,12.57458545,0.016623, PPPP
6234,3646449,4999.01,               ,65.75213749,0.017556, PPPP
6239,3751118,5004.01,               ,103.3594207,0.014136, PPNN
6242,3758499,5007.01,               ,14.51690167,0.008634, PPPP
6243,3758499,5007.02,               ,80.88225039,0.011182, PPPN
6263,3955444,5027.01,               ,62.30983145,0.00943, PPNN
6269,3974928,5033.01,               ,127.6712914,0.019184, PPNN
6276,4135912,5040.01,               ,29.60961281,0.013829, PPPP
6282,4164511,5046.01,               ,40.98876851,0.010465, PPNN
6284,4241238,5048.01,               ,138.3339386,0.021733, PPNN
6293,4346339,5057.01,               ,493.7469858,0.019644, PPNN
6304,4484179,5068.01,               ,385.0433979,0.011501, PPNN
6316,4737848,5079.01,               ,56.00280688,0.010191, PPNN
6320,4750962,5083.01,               ,69.93332144,0.01479, PPNN
6321,4760478,5084.01, Kepler-1625 b ,287.3770085,0.059957, PPPP
6322,4761427,5085.01,               ,327.0587582,0.025515, PPNN
6324,4770798,5087.01,               ,651.0575957,0.011484, PPNN
6325,4813750,5088.01,               ,49.17844759,0.019388, PPPP
6335,4912650,5098.01,               ,100.3465521,0.017444, PPPP
6336,4914221,5099.01,               ,111.1892177,0.009414, PPNN
6338,4915582,5101.01,               ,436.2614857,0.009811, PPNN
6341,4918303,5104.01,               ,21.15833988,0.013495, PPPP
6347,4953262,5110.01,               ,105.5913215,0.015498, PPFN
6354,5027859,5117.01,               ,33.37285414,0.0229, PPPP
6356,5036052,5119.01,               ,143.1657361,0.016687, PPNN
6361,5094412,5124.01,               ,276.8791127,0.036295, PPFP
6363,5110453,5126.01,               ,418.0401722,0.019448, PPNN
6367,5166811,5130.01,               ,370.0692773,0.024492, PPNN
6386,5283728,5149.01,               ,43.68266392,0.01482, PPPP
6392,5374838,5155.01,               ,230.1803547,0.055782, PPPP
6399,5428199,5162.01,               ,627.9517713,0.013219, PPNN
6401,5436455,5164.01,               ,209.9698055,0.010674, PPNN
6402,5439000,5165.01,               ,369.7305169,0.014395, PPNN
6406,5443320,5169.01,               ,21.36839339,0.021117, PPPN
6411,5524229,5174.01,               ,22.49310594,0.009754, PPNP
6415,5551240,5178.01, Kepler-1626 b ,4.13954773,0.009714, PPPP
6425,5650930,5188.01,               ,455.1932985,0.015098, PPNN
6433,5734702,5196.01,               ,392.4701545,0.017325, PPFN
6439,5793275,5202.01,               ,535.9412415,0.016482, PPNP
6442,5857656,5205.01,               ,313.051086,0.022209, PPNN
6444,5859725,5207.01,               ,18.98261828,0.0064, PPPP
6448,5946568,5211.01,               ,3.56450584,0.006449, PPPP
6456,5981058,5219.01,               ,27.76562858,0.010975, PPFP
6459,6021840,5222.01,               ,367.609338,0.02028, PPNN
6461,6025174,5224.01,               ,171.0350823,0.018567, PPPP
6463,6034379,5226.01,               ,249.329895,0.032877, PPNN
6464,6034834,5227.01,               ,371.6783005,0.015902, PPNN
6465,6036286,5228.01,               ,546.4502011,0.024292, PPNN
6466,6038152,5229.01,               ,364.6401341,0.01436, PPNN
6467,6043490,5230.01,               ,330.7409248,0.015965, PPNN
