KOI_inner,Period_inner,KOI_outer,Period_outer,Period Ratios,Nearest Period Ratio,delta,Period_ttv
2871.04,7.97883,2871.01,12.1000,1.51651,3:2,0.0110068,366.438
2871.02,5.36378,2871.04,7.97883,1.48754,3:2,-0.00830783,-320.133
2926.04,37.6335,2926.05,75.7316,2.01234,2:1,0.00617182,6135.28
2977.01,2.78821,2977.02,4.13829,1.48421,3:2,-0.0105255,-131.056
3029.02,6.34717,3029.01,18.9764,2.98974,3:1,-0.00342130,-1848.84
3068.01,3.91682,3068.02,6.65176,1.69825,5:3,0.0189525,70.1940
3083.03,8.29426,3083.01,10.1832,1.22774,5:4,-0.0178114,-114.344
3083.02,6.23221,3083.03,8.29426,1.33087,4:3,-0.00184738,-1122.43
3158.01,3.60013,3158.02,4.54586,1.26269,5:4,0.0101553,89.5267
3158.03,6.18945,3158.04,7.74345,1.25107,5:4,0.000858900,1803.11
3158.04,7.74345,3158.05,9.74052,1.25790,5:4,0.00632301,308.097
3184.01,7.54760,3184.02,11.3225,1.50015,3:2,0.0000968502,38969.1
3196.01,4.96062,3196.02,6.88309,1.38755,7:5,-0.00889519,-110.543
3395.02,5.03954,3395.01,10.0050,1.98530,2:1,-0.00734883,-680.721
3398.03,4.32712,3398.01,7.31941,1.69152,5:3,0.0149130,98.1613
3470.01,15.0615,3470.02,25.4340,1.68868,5:3,0.0132052,385.212
3503.01,21.1856,3503.02,31.8261,1.50225,3:2,0.00150258,7060.33
3791.02,220.130,3791.01,440.786,2.00239,2:1,0.00119728,184078
4034.01,6.96703,4034.02,11.6088,1.66625,5:3,-0.000249304,-9312.98
4084.03,8.19610,4084.02,10.7290,1.30904,4:3,-0.0182196,-147.219
4136.01,2.41750,4136.02,4.03353,1.66847,5:3,0.00108192,745.625
4246.03,5.55833,4246.01,6.98475,1.25663,5:4,0.00530206,263.473
4246.01,6.98475,4246.02,8.75631,1.25363,5:4,0.00290612,602.612
4382.01,2.94646,4382.02,3.98157,1.35131,4:3,0.0134817,73.8330
4383.02,2.58397,4383.01,4.34192,1.68033,5:3,0.00819708,105.938
4421.01,4.72694,4421.02,6.55936,1.38766,7:5,-0.00881770,-106.269
4435.01,10.8614,4435.02,17.8692,1.64521,5:3,-0.0128760,-277.558
4500.03,14.7510,4500.02,44.9847,3.04960,3:1,0.0165336,906.935
4500.01,8.70179,4500.03,14.7510,1.69517,5:3,0.0171027,172.500
4504.01,4.13032,4504.02,8.11939,1.96580,2:1,-0.0170991,-237.422
4524.03,3.33932,4524.02,4.52627,1.35544,4:3,0.0165836,68.2340
4541.01,8.52911,4541.02,17.2360,2.02085,2:1,0.0104236,826.780
4657.01,7.57606,4657.02,10.4315,1.37691,7:5,-0.0164945,-90.3466
4772.01,3.38085,4772.04,5.14993,1.52326,3:2,0.0155098,110.681
4773.01,8.84935,4773.02,11.1443,1.25934,5:4,0.00747029,298.364
4846.01,19.2547,4846.02,32.5275,1.68933,5:3,0.0135952,478.516
4871.01,4.08198,4871.02,5.52240,1.35287,4:3,0.0146543,94.2110
4913.01,6.78781,4913.02,8.97388,1.32206,4:3,-0.00845622,-265.304
6093.01,20.5719,6093.02,27.2487,1.32456,4:3,-0.00658123,-1035.09
6145.01,19.6727,6145.02,32.6578,1.66005,5:3,-0.00396760,-1646.23
6182.01,19.2419,6182.02,28.6838,1.49069,3:2,-0.00620395,-1541.16
6191.01,9.70412,6191.02,12.7712,1.31606,4:3,-0.0129520,-246.511
6209.02,7.72969,6209.01,12.7145,1.64489,5:3,-0.0130688,-194.577
6259.01,4.78124,6259.02,7.18858,1.50349,3:2,0.00232984,1028.48
