,KIC,KOI,Kepler,Period,Rp
582,7119481,566.03,               ,42.06694616,1.455
583,7445445,567.01, Kepler-184 b  ,10.68759102,2.304
584,7445445,567.02, Kepler-184 c  ,20.30308048,1.912
585,7445445,567.03, Kepler-184 d  ,29.02256398,2.088
586,7595157,568.01, Kepler-605 b  ,3.38353654,1.375
587,7595157,568.02, Kepler-605 c  ,2.35896842,0.829
588,8008206,569.01, Kepler-185 c  ,20.72906978,1.676
589,8008206,569.02, Kepler-185 b  ,1.63291188,1.021
590,8120608,571.01, Kepler-186 c  ,7.26730367,1.393
591,8120608,571.02, Kepler-186 d  ,13.34299753,1.538
592,8120608,571.03, Kepler-186 b  ,3.88677804,1.181
593,8120608,571.04, Kepler-186 e  ,22.40768305,1.399
594,8120608,571.05, Kepler-186 f  ,129.9445093,1.21
595,8193178,572.01, Kepler-187 c  ,10.64023683,3.398
596,8193178,572.02, Kepler-187 b  ,4.93882366,1.772
597,8344004,573.01, Kepler-188 c  ,5.99653611,2.751
598,8344004,573.02, Kepler-188 b  ,2.06190388,1.51
599,8355239,574.01, Kepler-189 c  ,20.1348782,2.385
600,8355239,574.02, Kepler-189 b  ,10.39985273,1.234
602,8558011,577.01, Kepler-607 c  ,39.6763843,2.023
603,8558011,577.02, Kepler-607 b  ,0.63816104,0.871
605,8616637,579.01, Kepler-190 b  ,2.01999966,1.356
606,8616637,579.02, Kepler-190 c  ,3.76304253,1.403
608,8822216,581.01, Kepler-610 b  ,6.99692283,3.196
609,8822216,581.02, Kepler-610 c  ,151.8638796,2.417
610,9020160,582.01, Kepler-191 d  ,5.9450441,2.116
611,9020160,582.02, Kepler-191 c  ,17.73852352,1.836
612,9020160,582.03, Kepler-191 b  ,9.93957896,1.304
614,9146018,584.01, Kepler-192 b  ,9.92671257,2.62
615,9146018,584.02, Kepler-192 c  ,21.22354847,2.364
616,9146018,584.03, Kepler-192 d  ,6.47031853,1.057
621,9782691,590.01, Kepler-193 b  ,11.38842051,2.141
622,9782691,590.02, Kepler-193 c  ,50.69868362,2.53
624,9958962,593.01, Kepler-616 b  ,9.99759192,2.396
625,9958962,593.02, Kepler-616 c  ,90.41218604,3.401
626,9958962,593.03, Kepler-616 d  ,51.0671184,2.299
627,9958962,593.04,               ,240.1996788,2.329
629,10600261,597.01, Kepler-194 c  ,17.30799489,2.482
630,10600261,597.02, Kepler-194 b  ,2.0922703,1.427
631,10600261,597.03, Kepler-194 d  ,52.81512831,2.322
632,10656823,598.01, Kepler-195 b  ,8.30783562,2.2
633,10656823,598.02, Kepler-195 c  ,34.09678097,1.72
635,10718726,600.01, Kepler-618 b  ,3.59576335,2.329
636,10718726,600.02,               ,294.0521699,3.474
637,10973664,601.01, Kepler-619 b  ,5.40428247,2.63
638,10973664,601.02,               ,11.67894843,3.113
639,10973664,601.03, Kepler-619 c  ,1.20845818,1.361
641,4832837,605.01, Kepler-621 b  ,2.62811611,6.597
642,4832837,605.02,               ,5.06543465,2.372
645,6587002,612.01, Kepler-196 b  ,20.73987225,1.913
646,6587002,612.02, Kepler-196 c  ,47.42767093,2.204
647,6587002,612.03, Kepler-196 d  ,122.0805836,2.159
650,11773022,620.01, Kepler-51 b   ,45.15526672,6.45
651,11773022,620.02, Kepler-51 d   ,130.1781993,8.797
652,11773022,620.03, Kepler-51 c   ,85.31655302,6.393
654,12068975,623.01, Kepler-197 c  ,10.34974362,1.288
655,12068975,623.02, Kepler-197 d  ,15.67754049,1.27
656,12068975,623.03, Kepler-197 b  ,5.59932438,1.082
657,12068975,623.04, Kepler-197 e  ,25.2104678,0.927
658,3541946,624.01, Kepler-198 b  ,17.79000592,2.623
659,3541946,624.02, Kepler-198 c  ,49.56744103,2.392
660,3541946,624.03, Kepler-198 d  ,1.3118427,1.399
661,4478168,626.01, Kepler-624 b  ,14.58654865,2.369
662,4478168,626.02,               ,8.02929398,1.006
663,4563268,627.01, Kepler-625 b  ,7.75193756,2.816
664,4563268,627.02, Kepler-625 c  ,4.16539422,1.536
671,5113822,638.01, Kepler-199 b  ,23.64200635,3.029
672,5113822,638.02, Kepler-199 c  ,67.09309093,3.233
676,5374854,645.01, Kepler-633 b  ,8.50336616,2.349
677,5374854,645.02, Kepler-633 c  ,23.78308751,2.745
678,5531694,647.01, Kepler-634 b  ,5.16950931,2.124
